epoch	loss	acc	val_loss	val_acc
0	32.28223495483398	0.1	30.702385711669923	0.5
1	29.780960273742675	0.35	28.172503089904787	0.45
2	27.492492485046387	0.4	26.61921501159668	0.35
3	25.866024589538576	0.35	24.7608585357666	0.4
4	24.64495964050293	0.35	24.552416801452637	0.35
5	24.72122440338135	0.4	24.32662162780762	0.4
6	24.494589614868165	0.4	24.01976375579834	0.3
7	23.926049041748048	0.45	23.98724479675293	0.35
8	24.20951862335205	0.45	23.880086135864257	0.35
9	24.353144264221193	0.35	24.26714344024658	0.35
